type;marque;modele;;;;identifiant;;;;;;;;
Voiture;ALFA ROMEO;ALFA;33;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALFA 33 ', 2);";;;;;BENTLEY;12;"INSERT INTO marque (lib_marque) VALUES ('BENTLEY');"
Voiture;ALFA ROMEO;ALFA;6;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALFA 6 ', 2);";;;;;BERTONE;13;"INSERT INTO marque (lib_marque) VALUES ('BERTONE');"
Voiture;ALFA ROMEO;ALFA;75;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALFA 75 ', 2);";;;;;BMW;14;"INSERT INTO marque (lib_marque) VALUES ('BMW');"
Voiture;ALFA ROMEO;ALFA;90;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALFA 90 ', 2);";;;;;BOLLORE;15;"INSERT INTO marque (lib_marque) VALUES ('BOLLORE');"
Voiture;ALFA ROMEO;ALFA;SPIDER;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALFA SPIDER ', 2);";;;;;BUICK;16;"INSERT INTO marque (lib_marque) VALUES ('BUICK');"
Voiture;ALFA ROMEO;ALFA;SPRINT;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALFA SPRINT ', 2);";;;;;CADILLAC;17;"INSERT INTO marque (lib_marque) VALUES ('CADILLAC');"
Voiture;ALFA ROMEO;ALFASUD;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALFASUD  ', 2);";;;;;CHEVROLET;18;"INSERT INTO marque (lib_marque) VALUES ('CHEVROLET');"
Voiture;ALFA ROMEO;ALFETTA;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALFETTA  ', 2);";;;;;CHRYSLER;19;"INSERT INTO marque (lib_marque) VALUES ('CHRYSLER');"
Voiture;ALFA ROMEO;BRERA;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('BRERA  ', 2);";;;;;CITROEN;20;"INSERT INTO marque (lib_marque) VALUES ('CITROEN');"
Voiture;ALFA ROMEO;CROSSWAGON;Q4;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CROSSWAGON Q4 ', 2);";;;;;CORVETTE;21;"INSERT INTO marque (lib_marque) VALUES ('CORVETTE');"
Voiture;ALFA ROMEO;GIULIETTA;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GIULIETTA  ', 2);";;;;;DACIA;22;"INSERT INTO marque (lib_marque) VALUES ('DACIA');"
Voiture;ALFA ROMEO;GT;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GT  ', 2);";;;;;DAEWOO;23;"INSERT INTO marque (lib_marque) VALUES ('DAEWOO');"
Voiture;ALFA ROMEO;GTV;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('GTV  ', 2);";;;;;DAF;24;"INSERT INTO marque (lib_marque) VALUES ('DAF');"
Voiture;ALFA ROMEO;MITO;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MITO  ', 2);";;;;;DAIHATSU;25;"INSERT INTO marque (lib_marque) VALUES ('DAIHATSU');"
Voiture;ALFA ROMEO;SPIDER;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SPIDER  ', 2);";;;;;DALLAS;26;"INSERT INTO marque (lib_marque) VALUES ('DALLAS');"
Voiture;ALFA ROMEO;AUTRE;;;;2;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 2);";;;;;DATSUN;27;"INSERT INTO marque (lib_marque) VALUES ('DATSUN');"
Voiture;ALPINE RENAULT;A110;;;;3;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A110  ', 3);";;;;;DODGE;28;"INSERT INTO marque (lib_marque) VALUES ('DODGE');"
Voiture;ALPINE RENAULT;A310;;;;3;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A310  ', 3);";;;;;DS;29;"INSERT INTO marque (lib_marque) VALUES ('DS');"
Voiture;ALPINE RENAULT;A610;;;;3;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A610  ', 3);";;;;;FERRARI;30;"INSERT INTO marque (lib_marque) VALUES ('FERRARI');"
Voiture;ALPINE RENAULT;V6;;;;3;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('V6  ', 3);";;;;;FIAT;31;"INSERT INTO marque (lib_marque) VALUES ('FIAT');"
Voiture;ALPINE RENAULT;AUTRE;;;;3;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 3);";;;;;FORD;32;"INSERT INTO marque (lib_marque) VALUES ('FORD');"
Voiture;ARO;4X4;;;;4;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('4X4  ', 4);";;;;;FSO;33;"INSERT INTO marque (lib_marque) VALUES ('FSO');"
Voiture;ARO;ARO;10;;;4;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ARO 10 ', 4);";;;;;FUSO;34;"INSERT INTO marque (lib_marque) VALUES ('FUSO');"
Voiture;ARO;CARPAT;;;;4;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CARPAT  ', 4);";;;;;GAC;35;"INSERT INTO marque (lib_marque) VALUES ('GAC');"
Voiture;ARO;CROSS;LANDER;;;4;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CROSS LANDER ', 4);";;;;;GME;36;"INSERT INTO marque (lib_marque) VALUES ('GME');"
Voiture;ARO;FORESTER;;;;4;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FORESTER  ', 4);";;;;;GRANDIN;37;"INSERT INTO marque (lib_marque) VALUES ('GRANDIN');"
Voiture;ARO;SPARTANA;;;;4;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SPARTANA  ', 4);";;;;;HONDA;38;"INSERT INTO marque (lib_marque) VALUES ('HONDA');"
Voiture;ARO;TRAPEURS;;;;4;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TRAPEURS  ', 4);";;;;;HOTCHKISS;39;"INSERT INTO marque (lib_marque) VALUES ('HOTCHKISS');"
Voiture;ARO;AUTRE;;;;4;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 4);";;;;;HUMMER;40;"INSERT INTO marque (lib_marque) VALUES ('HUMMER');"
Voiture;ASIA;ROCSTA;;;;5;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ROCSTA  ', 5);";;;;;HYUNDAI;41;"INSERT INTO marque (lib_marque) VALUES ('HYUNDAI');"
Voiture;ASIA;AUTRE;;;;5;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 5);";;;;;INFINITI;42;"INSERT INTO marque (lib_marque) VALUES ('INFINITI');"
Voiture;ASTON MARTIN;CYGNET;;;;6;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CYGNET  ', 6);";;;;;INNOCENTI;43;"INSERT INTO marque (lib_marque) VALUES ('INNOCENTI');"
Voiture;ASTON MARTIN;AUTRE;;;;6;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 6);";;;;;ISUZU;44;"INSERT INTO marque (lib_marque) VALUES ('ISUZU');"
Voiture;AUDI;100;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('100  ', 7);";;;;;IVECO;45;"INSERT INTO marque (lib_marque) VALUES ('IVECO');"
Voiture;AUDI;200;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('200  ', 7);";;;;;JAGUAR;46;"INSERT INTO marque (lib_marque) VALUES ('JAGUAR');"
Voiture;AUDI;80;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('80  ', 7);";;;;;JEEP;47;"INSERT INTO marque (lib_marque) VALUES ('JEEP');"
Voiture;AUDI;90;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('90  ', 7);";;;;;KIA;48;"INSERT INTO marque (lib_marque) VALUES ('KIA');"
Voiture;AUDI;A1;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A1  ', 7);";;;;;LADA;49;"INSERT INTO marque (lib_marque) VALUES ('LADA');"
Voiture;AUDI;A2;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A2  ', 7);";;;;;LAMBORGHINI;50;"INSERT INTO marque (lib_marque) VALUES ('LAMBORGHINI');"
Voiture;AUDI;A3;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A3  ', 7);";;;;;LANCIA;51;"INSERT INTO marque (lib_marque) VALUES ('LANCIA');"
Voiture;AUDI;A3;CABRIOLET;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A3 CABRIOLET ', 7);";;;;;LAND ROVER;52;"INSERT INTO marque (lib_marque) VALUES ('LAND ROVER');"
Voiture;AUDI;A3;SPORTBACK;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A3 SPORTBACK ', 7);";;;;;LDV;53;"INSERT INTO marque (lib_marque) VALUES ('LDV');"
Voiture;AUDI;A4;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A4  ', 7);";;;;;LEXUS;54;"INSERT INTO marque (lib_marque) VALUES ('LEXUS');"
Voiture;AUDI;A4;ALLROAD;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A4 ALLROAD ', 7);";;;;;LOTUS;55;"INSERT INTO marque (lib_marque) VALUES ('LOTUS');"
Voiture;AUDI;A4;CABRIOLET;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A4 CABRIOLET ', 7);";;;;;MAHINDRA;56;"INSERT INTO marque (lib_marque) VALUES ('MAHINDRA');"
Voiture;AUDI;A4;III-IV;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A4 III-IV ', 7);";;;;;MARUTI;57;"INSERT INTO marque (lib_marque) VALUES ('MARUTI');"
Voiture;AUDI;A4;V;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A4 V ', 7);";;;;;MASERATI;58;"INSERT INTO marque (lib_marque) VALUES ('MASERATI');"
Voiture;AUDI;A5;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A5  ', 7);";;;;;MATRA;59;"INSERT INTO marque (lib_marque) VALUES ('MATRA');"
Voiture;AUDI;A5;CABRIOLET;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A5 CABRIOLET ', 7);";;;;;MAZDA;60;"INSERT INTO marque (lib_marque) VALUES ('MAZDA');"
Voiture;AUDI;A5;SPORTBACK;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A5 SPORTBACK ', 7);";;;;;MEGA;61;"INSERT INTO marque (lib_marque) VALUES ('MEGA');"
Voiture;AUDI;A6;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A6  ', 7);";;;;;MERCEDES;62;"INSERT INTO marque (lib_marque) VALUES ('MERCEDES');"
Voiture;AUDI;A6;IV;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A6 IV ', 7);";;;;;MG;63;"INSERT INTO marque (lib_marque) VALUES ('MG');"
Voiture;AUDI;A7;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A7  ', 7);";;;;;MGF;64;"INSERT INTO marque (lib_marque) VALUES ('MGF');"
Voiture;AUDI;A7;SPORTBACK;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A7 SPORTBACK ', 7);";;;;;MIA;65;"INSERT INTO marque (lib_marque) VALUES ('MIA');"
Voiture;AUDI;A8;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A8  ', 7);";;;;;MINI;66;"INSERT INTO marque (lib_marque) VALUES ('MINI');"
Voiture;AUDI;ALLROAD;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALLROAD  ', 7);";;;;;MITSUBISHI;67;"INSERT INTO marque (lib_marque) VALUES ('MITSUBISHI');"
Voiture;AUDI;ALLROAD;QUATTRO;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALLROAD QUATTRO ', 7);";;;;;MORGAN;68;"INSERT INTO marque (lib_marque) VALUES ('MORGAN');"
Voiture;AUDI;CABRIOLET;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CABRIOLET  ', 7);";;;;;NISSAN;69;"INSERT INTO marque (lib_marque) VALUES ('NISSAN');"
Voiture;AUDI;COUPE;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('COUPE  ', 7);";;;;;OPEL;70;"INSERT INTO marque (lib_marque) VALUES ('OPEL');"
Voiture;AUDI;Q3;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('Q3  ', 7);";;;;;PANHARD;71;"INSERT INTO marque (lib_marque) VALUES ('PANHARD');"
Voiture;AUDI;Q5;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('Q5  ', 7);";;;;;PEUGEOT;72;"INSERT INTO marque (lib_marque) VALUES ('PEUGEOT');"
Voiture;AUDI;Q7;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('Q7  ', 7);";;;;;PGO;73;"INSERT INTO marque (lib_marque) VALUES ('PGO');"
Voiture;AUDI;QUATTRO;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('QUATTRO  ', 7);";;;;;PIAGGIO;74;"INSERT INTO marque (lib_marque) VALUES ('PIAGGIO');"
Voiture;AUDI;R8;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('R8  ', 7);";;;;;POLSKI-FSO;75;"INSERT INTO marque (lib_marque) VALUES ('POLSKI-FSO');"
Voiture;AUDI;RS3;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('RS3  ', 7);";;;;;PONTIAC;76;"INSERT INTO marque (lib_marque) VALUES ('PONTIAC');"
Voiture;AUDI;RS3;SPORTBACK;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('RS3 SPORTBACK ', 7);";;;;;PORSCHE;77;"INSERT INTO marque (lib_marque) VALUES ('PORSCHE');"
Voiture;AUDI;RS4;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('RS4  ', 7);";;;;;PROTON;78;"INSERT INTO marque (lib_marque) VALUES ('PROTON');"
Voiture;AUDI;RS5;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('RS5  ', 7);";;;;;RENAULT;79;"INSERT INTO marque (lib_marque) VALUES ('RENAULT');"
Voiture;AUDI;RS6;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('RS6  ', 7);";;;;;ROLLS ROYCE;80;"INSERT INTO marque (lib_marque) VALUES ('ROLLS ROYCE');"
Voiture;AUDI;RS7;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('RS7  ', 7);";;;;;ROVER;81;"INSERT INTO marque (lib_marque) VALUES ('ROVER');"
Voiture;AUDI;S1;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S1  ', 7);";;;;;SAAB;82;"INSERT INTO marque (lib_marque) VALUES ('SAAB');"
Voiture;AUDI;S3;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S3  ', 7);";;;;;SANTANA;83;"INSERT INTO marque (lib_marque) VALUES ('SANTANA');"
Voiture;AUDI;S3;SPORTBACK;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S3 SPORTBACK ', 7);";;;;;SEAT;84;"INSERT INTO marque (lib_marque) VALUES ('SEAT');"
Voiture;AUDI;S4;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S4  ', 7);";;;;;SIMCA;85;"INSERT INTO marque (lib_marque) VALUES ('SIMCA');"
Voiture;AUDI;S4;CABRIOLET;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S4 CABRIOLET ', 7);";;;;;SKODA;86;"INSERT INTO marque (lib_marque) VALUES ('SKODA');"
Voiture;AUDI;S5;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S5  ', 7);";;;;;SMART;87;"INSERT INTO marque (lib_marque) VALUES ('SMART');"
Voiture;AUDI;S6;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S6  ', 7);";;;;;SSANGYONG;88;"INSERT INTO marque (lib_marque) VALUES ('SSANGYONG');"
Voiture;AUDI;S7;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S7  ', 7);";;;;;SUBARU;89;"INSERT INTO marque (lib_marque) VALUES ('SUBARU');"
Voiture;AUDI;S8;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('S8  ', 7);";;;;;SUZUKI;90;"INSERT INTO marque (lib_marque) VALUES ('SUZUKI');"
Voiture;AUDI;TT;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TT  ', 7);";;;;;TALBOT;91;"INSERT INTO marque (lib_marque) VALUES ('TALBOT');"
Voiture;AUDI;TTS;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('TTS  ', 7);";;;;;TATA;92;"INSERT INTO marque (lib_marque) VALUES ('TATA');"
Voiture;AUDI;V8;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('V8  ', 7);";;;;;TAVRIA;93;"INSERT INTO marque (lib_marque) VALUES ('TAVRIA');"
Voiture;AUDI;AUTRE;;;;7;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 7);";;;;;TEILHOL;94;"INSERT INTO marque (lib_marque) VALUES ('TEILHOL');"
Voiture;AUSTIN;ALLEGRO;;;;8;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('ALLEGRO  ', 8);";;;;;THINK;95;"INSERT INTO marque (lib_marque) VALUES ('THINK');"
Voiture;AUSTIN;JEEP;;;;8;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('JEEP  ', 8);";;;;;TOYOTA;96;"INSERT INTO marque (lib_marque) VALUES ('TOYOTA');"
Voiture;AUSTIN;MAESTRO;;;;8;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MAESTRO  ', 8);";;;;;TRIUMPH;97;"INSERT INTO marque (lib_marque) VALUES ('TRIUMPH');"
Voiture;AUSTIN;MARINA;;;;8;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MARINA  ', 8);";;;;;UMM;98;"INSERT INTO marque (lib_marque) VALUES ('UMM');"
Voiture;AUSTIN;METRO;;;;8;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('METRO  ', 8);";;;;;VOLKSWAGEN;99;"INSERT INTO marque (lib_marque) VALUES ('VOLKSWAGEN');"
Voiture;AUSTIN;MINI;;;;8;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MINI  ', 8);";;;;;VOLVO;100;"INSERT INTO marque (lib_marque) VALUES ('VOLVO');"
Voiture;AUSTIN;MONTEGO;;;;8;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MONTEGO  ', 8);";;;;;WILLYS;101;"INSERT INTO marque (lib_marque) VALUES ('WILLYS');"
Voiture;AUSTIN;PRINCESS;;;;8;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('PRINCESS  ', 8);";;;;;ZASTAVA;102;"INSERT INTO marque (lib_marque) VALUES ('ZASTAVA');"
Voiture;AUSTIN;SHERPA;;;;8;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('SHERPA  ', 8);";;;;;AUTRE;103;"INSERT INTO marque (lib_marque) VALUES ('AUTRE');"
Voiture;AUSTIN;AUTRE;;;;8;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 8);";;;;;;;
Voiture;AUTOBIANCHI;A112;;;;9;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A112  ', 9);";;;;;;;
Voiture;AUTOBIANCHI;Y10;;;;9;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('Y10  ', 9);";;;;;;;
Voiture;AUTOBIANCHI;AUTRE;;;;9;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 9);";;;;;;;
Voiture;AUVERLAND;A3;;;;10;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('A3  ', 10);";;;;;;;
Voiture;AUVERLAND;AUTRE;;;;10;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 10);";;;;;;;
Voiture;BEDFORD;CF;;;;11;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('CF  ', 11);";;;;;;;
Voiture;BEDFORD;MIDI;;;;11;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MIDI  ', 11);";;;;;;;
Voiture;BEDFORD;AUTRE;;;;11;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 11);";;;;;;;
Voiture;BENTLEY;MULSANNE;;;;12;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('MULSANNE  ', 12);";;;;;;;
Voiture;BENTLEY;AUTRE;;;;12;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 12);";;;;;;;
Voiture;BERTONE;FREECLIMBER;;;;13;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('FREECLIMBER  ', 13);";;;;;;;
Voiture;BERTONE;AUTRE;;;;13;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('AUTRE  ', 13);";;;;;;;
Voiture;BMW;116;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('116  ', 14);";;;;;;;
Voiture;BMW;118;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('118  ', 14);";;;;;;;
Voiture;BMW;120;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('120  ', 14);";;;;;;;
Voiture;BMW;123;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('123  ', 14);";;;;;;;
Voiture;BMW;125;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('125  ', 14);";;;;;;;
Voiture;BMW;130;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('130  ', 14);";;;;;;;
Voiture;BMW;135;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('135  ', 14);";;;;;;;
Voiture;BMW;315;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('315  ', 14);";;;;;;;
Voiture;BMW;316;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('316  ', 14);";;;;;;;
Voiture;BMW;318;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('318  ', 14);";;;;;;;
Voiture;BMW;320;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('320  ', 14);";;;;;;;
Voiture;BMW;323;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('323  ', 14);";;;;;;;
Voiture;BMW;324;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('324  ', 14);";;;;;;;
Voiture;BMW;325;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('325  ', 14);";;;;;;;
Voiture;BMW;328;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('328  ', 14);";;;;;;;
Voiture;BMW;330;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('330  ', 14);";;;;;;;
Voiture;BMW;335;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('335  ', 14);";;;;;;;
Voiture;BMW;518;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('518  ', 14);";;;;;;;
Voiture;BMW;520;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('520  ', 14);";;;;;;;
Voiture;BMW;523;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('523  ', 14);";;;;;;;
Voiture;BMW;524;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('524  ', 14);";;;;;;;
Voiture;BMW;525;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('525  ', 14);";;;;;;;
Voiture;BMW;528;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('528  ', 14);";;;;;;;
Voiture;BMW;530;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('530  ', 14);";;;;;;;
Voiture;BMW;535;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('535  ', 14);";;;;;;;
Voiture;BMW;540;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('540  ', 14);";;;;;;;
Voiture;BMW;545;;;;14;"INSERT INTO modele (lib_modele, id_marque_modele) VALUES ('545  ', 14);";;;;;;;
